web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733471081-111,FIAT BÜRSTNER T600 HARMONY,CHF 21'900.–,128'000 km,Diesel,"OBERFELDSTRASSE 13, 8570 WEINFELDEN",21900,128000,1,20000 - 49999,47.56113815307617,9.13205337524414
1733471083-112,MERCEDES-BENZ 310 4X4 UNTERSETZUNG,CHF 35'600.–,38'000 km,Benzin,"DORF 10, 9127 ST. PETERZELL",35600,38000,0,20000 - 49999,47.31846237182617,9.172804832458496
1733471088-113,LAND ROVER DEFENDER 110 TD5 WOHNKABINE,CHF 57'900.–,134'000 km,Diesel,"DORF 10, 9127 ST. PETERZELL",57900,134000,1,50000 - 99999,47.31846237182617,9.172804832458496
1733471090-114,MERCEDES-BENZ 310 4X4 UNTERSETZUNG PUCH,CHF 33'800.–,14'000 km,Benzin,"DORF 10, 9127 ST. PETERZELL",33800,14000,0,20000 - 49999,47.31846237182617,9.172804832458496
1733471093-115,CHEVROLET G30,CHF 14'900.–,180'000 km,Benzin,"WALDERSTRASSE 11, 8630 RÜTI",14900,180000,0,0 - 19999,47.26015853881836,8.858055114746094
1733471096-116,MIRAGE FIAT DUCATO,CHF 27'900.–,129'900 km,Diesel,"VIA SAN GOTTARDO 106, 6500 BELLINZONA",27900,129900,1,20000 - 49999,46.2071647644043,9.038201332092285
1733471099-117,VW T2,CHF 14'600.–,55'043 km,Benzin,"JUCHSTRASSE 25, 8604 VOLKETSWIL",14600,55043,0,0 - 19999,47.39076232910156,8.668862342834473
1733471103-118,VW HYMER CAPE TOWN  LADY CAMPER,CHF 35'000.–,207'000 km,Diesel,"SENNWALDER STR 34, 9465 SALEZ",35000,207000,1,20000 - 49999,47.24024963378906,9.50187873840332
1733471105-119,VW T6.1 CALIFORNIA 2.0 BI-TDI OCEAN LIBERTY 4MOTION,CHF 75'500.–,15'500 km,Diesel,"BERGERMOOSSTRASSE 10, 8902 URDORF",75500,15500,1,50000 - 99999,47.36935806274414,8.42248249053955
1733471107-120,FORD CHALLENGER 264,CHF 54'900.–,46'500 km,Diesel,"RTE DU GRAND-ST-BERNARD 17, 1880 BEX",54900,46500,1,50000 - 99999,46.25091552734375,7.00229549407959
1733471113-122,VW T4,CHF 12'900.–,224'569 km,Diesel,"WERKSTRASSE 4, 6010 KRIENS",12900,224569,1,0 - 19999,47.03029251098633,8.294075012207031
1733471115-123,IVECO 4X4 OFFROADER,CHF 34'800.–,11'800 km,Diesel,"DORF 10, 9127 ST. PETERZELL",34800,11800,1,20000 - 49999,47.31846237182617,9.172804832458496
1733471123-126,HYMER HYMERMOBIL,CHF 16'990.–,73'000 km,Diesel,8310 KEMPTTHAL,16990,73000,1,0 - 19999,47.45183181762695,8.701164245605469
1733471125-127,HYMER FIAT WLT 3.0M JET/35,CHF 35'990.–,33'000 km,Diesel,"INDUSTRIESTRASSE 6, 8604 VOLKETSWIL",35990,33000,1,20000 - 49999,47.382022857666016,8.666350364685059
1733471127-128,"VW T4 CALIFORNIA 2,5 TDI HOCHDACH H3 EXCLUSIVE",CHF 14'397.–,307'043 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",14397,307043,1,0 - 19999,47.741600036621094,8.709936141967773
1733471130-129,SUNLIGHT V66 MIT EINZELBETT!,CHF 59'777.–,42'190 km,Diesel,"HAUPTSTRASSE 216, 4565 RECHERSWIL",59777,42190,1,50000 - 99999,47.15408706665039,7.592122554779053
1733471134-130,VW T5 CALIFORNIA 2.0 TDI BEACH TRAVEL,CHF 28'900.–,129'300 km,Diesel,"HAUPTSTRASSE 3, 8505 PFYN/TG",28900,129300,1,20000 - 49999,47.594444274902344,8.948468208312988
1733471138-131,DETHLEFFS JUST T7052 EB,CHF 59'000.–,19'900 km,Diesel,"STAATSSTRASSE 49, 9437 MARBACH",59000,19900,1,50000 - 99999,47.39055633544922,9.567066192626953
1733471143-132,ROLLER TEAM ZEFIRO 285 TL13,CHF 61'980.–,26'980 km,Diesel,"HAUPTSTRASSE 70, 8546 ISLIKON",61980,26980,1,50000 - 99999,47.54833221435547,8.849271774291992
1733471145-133,"VW KASTENWAGEN MIT FESTEM HOCHDACH, GROSSEM FAHRKOMFORT UND DUSCHE",CHF 53'900.–,64'250 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",53900,64250,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471150-135,FIAT DUCATO 290/14,CHF 19'900.–,90'900 km,Diesel,"GRUBENSTRASSE 7, 8957 SPREITENBACH",19900,90900,1,0 - 19999,47.414920806884766,8.382509231567383
1733471152-136,SUN LIVING A-SERIES A75 SL (A248),CHF 76'900.–,20'000 km,Diesel,"WANNENWEG 1, 4133 PRATTELN",76900,20000,1,50000 - 99999,47.523582458496094,7.711702823638916
1733471155-137,KNAUS SKY TI 700 MG AUF BASIS FIAT DUCATO,CHF 54'400.–,39'500 km,Diesel,"GEWERBESTRASSE 1, 8451 KLEINANDELFINGEN",54400,39500,1,50000 - 99999,47.60587692260742,8.68687629699707
1733471157-138,MERCEDES-BENZ MARCO POLO 220 D  TREND AUTOMAT,CHF 62'800.–,12'900 km,Diesel,"KÜHLHAUSSTRASSE 2, 4900 LANGENTHAL",62800,12900,1,50000 - 99999,47.21744155883789,7.783696174621582
1733471162-140,VW 2.0 TDI MAREMONTI SURF CAMPER 5SITZE,CHF 36'900.–,88'000 km,Diesel,"THALERSTRASSE 46A, 9424 RHEINECK",36900,88000,1,20000 - 49999,47.467018127441406,9.58243179321289
1733471165-141,MERCEDES-BENZ VARIO 4X4,CHF 43'500.–,29'000 km,Diesel,"DORF 10, 9127 ST. PETERZELL",43500,29000,1,20000 - 49999,47.31846237182617,9.172804832458496
1733471167-142,VW T6 CALIFORNIA 2.0 BI-TDI OCEAN 4MOTION,CHF 56'000.–,82'000 km,Diesel,"GIMMERZ 54, 3283 KALLNACH",56000,82000,1,50000 - 99999,47.02757263183594,7.242457866668701
1733471170-143,CONCORDE CENTURION 910 LI,CHF 332'000.–,23'000 km,Diesel,"MITTLER-LANGNAU 1, 6105 SCHACHEN LU",332000,23000,1,200000 - 499999,47.040523529052734,8.134263038635254
1733471172-144,SUNLIGHT CLIFF 601,CHF 38'900.–,130'000 km,Diesel,"EISTRASSE 1, 6102 MALTERS",38900,130000,1,20000 - 49999,47.04475021362305,8.191388130187988
1733471177-146,"VW T6.1 CALIFORNIA OCEAN EDITION 4MOTION CAMPER MIT FESTER KÜCHE, ELEKTRISCHEM AUFSTELLDACH UND STANDHEIZUNG",CHF 63'900.–,80'164 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",63900,80164,1,50000 - 99999,47.31379699707031,8.796833038330078
